tweet_id	annotation	event
444762133323345920	fake	PigFish
444258618968252416	fake	PigFish
444117414242832384	fake	PigFish
444080439935111169	fake	PigFish
444061168282656768	fake	PigFish
443805396457648128	fake	PigFish
443740336263680000	fake	PigFish
443585108465823745	fake	PigFish
443524214046601216	fake	PigFish
443516991564161025	fake	PigFish
443333282239754240	fake	PigFish
443192528737955840	fake	PigFish
441694758759854080	fake	PigFish
443386192063504384	fake	Livr
443178710263668736	fake	Livr
443114854673809408	fake	Livr
443086048587837440	fake	Livr
443084828968099840	fake	Livr
443083958205837312	fake	Livr
443001201115025409	fake	Livr
442728438063833088	fake	Livr
510306758917890048	fake	ColumbianChemicals
510084365008007168	fake	ColumbianChemicals
510084487590707200	fake	ColumbianChemicals
510084658928029696	fake	ColumbianChemicals
510084757800378368	fake	ColumbianChemicals
510084972510990337	fake	ColumbianChemicals
510084340974624769	fake	ColumbianChemicals
510084433840717824	fake	ColumbianChemicals
510084591269728257	fake	ColumbianChemicals
510084725084790784	fake	ColumbianChemicals
510084333001277440	fake	ColumbianChemicals
510084879049318400	fake	ColumbianChemicals
510084428572672001	fake	ColumbianChemicals
510084548483616768	fake	ColumbianChemicals
510084719804174336	fake	ColumbianChemicals
510084868358037504	fake	ColumbianChemicals
510084420628652032	fake	ColumbianChemicals
510084415289298944	fake	ColumbianChemicals
510084372503207936	fake	ColumbianChemicals
510084527361110016	fake	ColumbianChemicals
510084367117737984	fake	ColumbianChemicals
510084490400907264	fake	ColumbianChemicals
510084705770024960	fake	ColumbianChemicals
510084482192654338	fake	ColumbianChemicals
510084522005000192	fake	ColumbianChemicals
510084834874912768	fake	ColumbianChemicals
510084661666922497	fake	ColumbianChemicals
510084613210124289	fake	ColumbianChemicals
510084697414967296	fake	ColumbianChemicals
510084747117486080	fake	ColumbianChemicals
510084359110799360	fake	ColumbianChemicals
510084805648990208	fake	ColumbianChemicals
510084985861459968	fake	ColumbianChemicals
510084961773559808	fake	ColumbianChemicals
510084444389396480	fake	ColumbianChemicals
510084375112085504	fake	ColumbianChemicals
510084601818398721	fake	ColumbianChemicals
510084364349476864	fake	ColumbianChemicals
510084506024685569	fake	ColumbianChemicals
510084402102427648	fake	ColumbianChemicals
510084733322424320	fake	ColumbianChemicals
510084468695400448	fake	ColumbianChemicals
510084940391022592	fake	ColumbianChemicals
510084610404126720	fake	ColumbianChemicals
510084514253897728	fake	ColumbianChemicals
510084672182046720	fake	ColumbianChemicals
510084694642532353	fake	ColumbianChemicals
510084738913431552	fake	ColumbianChemicals
510084760396648448	fake	ColumbianChemicals
510084953481445377	fake	ColumbianChemicals
510084797646241792	fake	ColumbianChemicals
510084991435669504	fake	ColumbianChemicals
510084425909288960	fake	ColumbianChemicals
510084535221239808	fake	ColumbianChemicals
510084343650594816	fake	ColumbianChemicals
510084441684058112	fake	ColumbianChemicals
510082096942309376	fake	ColumbianChemicals
510084711239401475	fake	ColumbianChemicals
510084596453892097	fake	ColumbianChemicals
510082272994013185	fake	ColumbianChemicals
510084843422887937	fake	ColumbianChemicals
510084730587729920	fake	ColumbianChemicals
510082330325946369	fake	ColumbianChemicals
510084929175441408	fake	ColumbianChemicals
510082332947415040	fake	ColumbianChemicals
510082519937875969	fake	ColumbianChemicals
510082593262694400	fake	ColumbianChemicals
510082753266982912	fake	ColumbianChemicals
510082825761333248	fake	ColumbianChemicals
510082249166192640	fake	ColumbianChemicals
510082313993355266	fake	ColumbianChemicals
510082316681887744	fake	ColumbianChemicals
510082246452469762	fake	ColumbianChemicals
510082498299428865	fake	ColumbianChemicals
510082311258648576	fake	ColumbianChemicals
510082565991313408	fake	ColumbianChemicals
510082734447153152	fake	ColumbianChemicals
510082493023027200	fake	ColumbianChemicals
510082099601481728	fake	ColumbianChemicals
510082793939144704	fake	ColumbianChemicals
510082563256639489	fake	ColumbianChemicals
510082093876269056	fake	ColumbianChemicals
510082275925835776	fake	ColumbianChemicals
510082720220078083	fake	ColumbianChemicals
510082238449729536	fake	ColumbianChemicals
510082791342882817	fake	ColumbianChemicals
510082267654651905	fake	ColumbianChemicals
510082303058776064	fake	ColumbianChemicals
510082230426042368	fake	ColumbianChemicals
510082324994990080	fake	ColumbianChemicals
510082523175845888	fake	ColumbianChemicals
510082297694257152	fake	ColumbianChemicals
510082362693390336	fake	ColumbianChemicals
510082322394542080	fake	ColumbianChemicals
510082596064489472	fake	ColumbianChemicals
510082357320499200	fake	ColumbianChemicals
510082077866598400	fake	ColumbianChemicals
510082091242225664	fake	ColumbianChemicals
510082511859638272	fake	ColumbianChemicals
510082755972300800	fake	ColumbianChemicals
510082550006841344	fake	ColumbianChemicals
510082254471974912	fake	ColumbianChemicals
510082264957739008	fake	ColumbianChemicals
510082831272656896	fake	ColumbianChemicals
510082582030331904	fake	ColumbianChemicals
510082619128963072	fake	ColumbianChemicals
510082547213418496	fake	ColumbianChemicals
510082319328481280	fake	ColumbianChemicals
510082104890503168	fake	ColumbianChemicals
510082786120966144	fake	ColumbianChemicals
510082607380701184	fake	ColumbianChemicals
510082745243279360	fake	ColumbianChemicals
510082225246048256	fake	ColumbianChemicals
510082281189683200	fake	ColumbianChemicals
510082817922203648	fake	ColumbianChemicals
510082780844527616	fake	ColumbianChemicals
510082300399583232	fake	ColumbianChemicals
510082508856520704	fake	ColumbianChemicals
510082506222489600	fake	ColumbianChemicals
510082335627546624	fake	ColumbianChemicals
510082576640663553	fake	ColumbianChemicals
510082349154201601	fake	ColumbianChemicals
510082579417272320	fake	ColumbianChemicals
510082528414560256	fake	ColumbianChemicals
510082737269903360	fake	ColumbianChemicals
510082747982184448	fake	ColumbianChemicals
510082539026149377	fake	ColumbianChemicals
510082602003603456	fake	ColumbianChemicals
510082804617842688	fake	ColumbianChemicals
510082809906855936	fake	ColumbianChemicals
510082764306399232	fake	ColumbianChemicals
510082610039906304	fake	ColumbianChemicals
510082833923440640	fake	ColumbianChemicals
510082774901227521	fake	ColumbianChemicals
510082075240976384	fake	ColumbianChemicals
510082241054400513	fake	ColumbianChemicals
510082257072427009	fake	ColumbianChemicals
510082305717993472	fake	ColumbianChemicals
510082490326069248	fake	ColumbianChemicals
510082503592660992	fake	ColumbianChemicals
510082555304218626	fake	ColumbianChemicals
510082723088957440	fake	ColumbianChemicals
510082571259379712	fake	ColumbianChemicals
510082783478550529	fake	ColumbianChemicals
510082739971063808	fake	ColumbianChemicals
510082799182024704	fake	ColumbianChemicals
510080391403683842	fake	ColumbianChemicals
510079314549686273	fake	ColumbianChemicals
510079689767911424	fake	ColumbianChemicals
510078607335882752	fake	ColumbianChemicals
510075397678313473	fake	ColumbianChemicals
510075631787573249	fake	ColumbianChemicals
510075699009683457	fake	ColumbianChemicals
510075943755726848	fake	ColumbianChemicals
510076357804826624	fake	ColumbianChemicals
510075303390367744	fake	ColumbianChemicals
510075562774503425	fake	ColumbianChemicals
